Word,Complexity,Category
seniors,3.0,hero
be,1.0,hero
emails,2.5,hero
attempts,2.5,hero
organizations,3.5,hero
adults,3.0,hero
work,2.5,hero
fbi,2.0,hero
texts,2.5,hero
and,1.0,hero
recommends,2.5,hero
of,1.5,hero
calls,2.5,hero
s,1.0,hero
older,2.5,hero
prevent,2.5,hero
educating,3.0,hero
tactics,3.5,hero
financial,3.5,hero
verifying,3.5,hero
scam,2.5,hero
to,1.0,hero
attacks,3.0,hero
help,1.5,hero
advises,2.5,hero
ftc,2.5,hero
individuals,3.5,hero
the,1.0,hero
sensitive,3.0,hero
trade,2.5,hero
suspected,3.0,hero
proper,2.5,hero
or,1.5,hero
authorities,3.5,hero
authenticity,3.5,hero
commission,3.0,hero
that,2.5,hero
immediate,2.5,hero
further,2.5,hero
phone,2.0,hero
vigilant,3.5,hero
data,2.5,hero
victimization,3.5,hero
information,3.5,hero
request,2.5,hero
about,2.5,hero
actions,2.5,hero
report,2.5,hero
common,2.0,hero
by,1.5,hero
important,2.5,hero
federal,3.0,hero
it,2.0,hero
being,2.5,hero
cautious,2.5,hero
personal,2.5,hero
phishing,3.5,hero
be,1.5,villain
seniors,3.0,villain
schemes,3.5,villain
tricks,2.5,villain
are,1.0,villain
and,1.0,villain
many,2.0,villain
making,2.5,villain
feelings,3.5,villain
older,2.5,villain
tactics,3.0,villain
trusting,2.5,villain
targeting,3.5,villain
text,2.5,villain
fraudulent,3.5,villain
requests,3.0,villain
declines,3.0,villain
loneliness,3.5,villain
scammers,3.0,villain
hold,2.5,villain
victim,3.0,villain
due,2.5,villain
online,2.5,villain
messages,2.5,villain
rely,2.5,villain
alerts,2.5,villain
accumulation,3.5,villain
susceptible,3.5,villain
they,2.0,villain
using,2.5,villain
elderly,2.5,villain
in,1.5,villain
potential,3.5,villain
of,1.5,villain
nature,3.5,villain
use,2.0,villain
communication,3.5,villain
risk,3.0,villain
with,2.0,villain
into,2.5,villain
associated,3.5,villain
exploit,3.0,villain
aging,2.5,villain
information,3.5,villain
polite,2.5,villain
as,2.0,villain
fake,2.5,villain
at,1.0,villain
phishing,3.5,villain
email,2.5,villain
often,2.5,villain
various,2.5,villain
on,1.5,villain
adults,3.0,villain
capitalize,2.5,villain
isolation,3.5,villain
like,2.5,villain
face,1.5,villain
but,2.0,villain
urgent,2.5,villain
them,2.5,villain
technology,3.5,villain
perceived,3.5,villain
financial,3.5,villain
factors,3.0,villain
vulnerabilities,3.5,villain
scams,3.0,villain
voice,2.5,villain
individuals,3.5,villain
or,1.5,villain
prompting,3.0,villain
such,2.0,villain
personal,2.5,villain
victims,3.0,villain
emails,2.5,villain
leaving,2.5,villain
target,2.5,villain
their,2.5,villain
becoming,2.5,villain
for,2.0,villain
trick,2.5,villain
through,2.5,villain
calls,2.5,villain
exploitation,3.5,villain
vulnerable,3.5,villain
wealth,3.0,villain
users,2.5,villain
to,1.0,villain
attacks,2.5,villain
falling,2.5,villain
targeted,3.0,villain
may,2.5,villain
providing,3.0,villain
tools,2.5,villain
easily,2.5,villain
cognitive,3.5,villain
deceptive,3.5,villain
data,2.5,villain
money,3.0,villain
actions,2.5,villain
language,3.5,villain
deceive,3.5,villain
by,1.5,villain
fraud,3.5,villain
challenges,3.5,villain
seniors,3.0,victim
be,1.5,victim
are,1.0,victim
many,2.5,victim
and,1.0,victim
making,2.5,victim
feelings,3.5,victim
older,2.5,victim
tactics,3.5,victim
tricking,3.0,victim
prime,3.5,victim
billion,3.5,victim
trusting,2.5,victim
suggests,2.5,victim
targeting,3.5,victim
loneliness,3.5,victim
research,3.5,victim
trust,2.5,victim
from,1.5,victim
scammers,3.5,victim
response,3.0,victim
greatest,2.5,victim
victim,2.5,victim
americans,3.0,victim
due,2.5,victim
online,2.5,victim
losses,2.5,victim
individual,3.0,victim
losing,2.5,victim
susceptible,3.5,victim
consequences,3.5,victim
health,3.0,victim
prevention,2.5,victim
using,2.5,victim
can,2.0,victim
loss,2.5,victim
in,1.5,victim
more,1.5,victim
dollars,3.0,victim
efforts,2.5,victim
of,1.5,victim
led,2.0,victim
accumulated,3.5,victim
use,2.0,victim
with,2.0,victim
into,2.0,victim
attractive,3.0,victim
information,3.5,victim
have,2.5,victim
targets,2.5,victim
phishing,3.5,victim
exceeding,3.5,victim
often,2.5,victim
impact,2.5,victim
various,2.5,victim
on,1.5,victim
familiar,2.5,victim
adults,3.0,victim
capitalize,2.5,victim
suffer,3.5,victim
isolation,3.5,victim
them,2.5,victim
technology,3.5,victim
financial,3.5,victim
scams,3.0,victim
sensitive,3.0,victim
instances,3.5,victim
well,2.0,victim
theft,3.0,victim
or,1.5,victim
less,1.5,victim
provide,2.5,victim
identity,3.5,victim
social,3.0,victim
personal,2.5,victim
safeguard,3.0,victim
unwittingly,3.5,victim
decline,2.5,victim
victims,3.5,victim
emails,2.5,victim
target,2.5,victim
their,2.5,victim
aim,1.5,victim
becoming,3.0,victim
for,2.0,victim
crucial,2.5,victim
who,2.0,victim
steal,2.5,victim
levels,2.5,victim
through,2.5,victim
exploitation,3.5,victim
resources,3.0,victim
affecting,3.0,victim
vulnerable,3.5,victim
wealth,3.5,victim
attacks,3.0,victim
to,1.5,victim
falling,2.5,victim
may,2.5,victim
the,1.0,victim
providing,3.0,victim
thousands,2.5,victim
increasingly,3.5,victim
cognitive,3.5,victim
devastating,3.5,victim
that,2.5,victim
data,2.5,victim
average,2.5,victim
independence,3.5,victim
money,2.5,victim
deceive,3.5,victim
significant,3.5,victim
being,2.5,victim
fraud,3.5,victim
